Адрес;Цена;Объект;Площадь
ул.Гончаровой,д. 34;3 350 000;1-комн. квартира;40 м2
ул.Фрунзе,д. 2, к1;3 780 000;1-комн. квартира;41 м2
ул.Цанова б-р,д. 31;3 200 000;1-комн. квартира;31 м2
ул.Комарова,д. 7;3 964 000;1-комн. квартира;44.06 м2
ул.Бурашевское ш.,д. 68;3 950 000;1-комн. квартира;38 м2
ул.Загородный п.,д. 13А;1 790 000;1-комн. квартира;32.2 м2
ул.Гусева б-р,д. 46;3 750 000;1-комн. квартира;40.8 м2
"ул.Планерная,д. ЖК &quot;Созвездие&quot;";4 270 000;1-комн. квартира;41 м2
ул.Кирова,д. 7, к2;4 650 000;1-комн. квартира;50 м2
ул.Псковская,д. ЖК времена года 2;3 490 000;1-комн. квартира;37.75 м2
ул.Сергея Лоскутова;4 100 000;1-комн. квартира;35.4 м2
ул.Луначарского,д. 12;3 180 000;1-комн. квартира;40 м2
ул.Сергея Лоскутова;3 650 000;1-комн. квартира;34.6 м2
ул.Володарского,д. 65;1 449 000;1-комн. квартира;31.88 м2
ул.Комсомольская,д. 22;720 000;1-комн. квартира;31 м2
ул.Вагжанова,д. 4а;1 550 000;1-комн. квартира;33.6 м2
ул.Загородная,д. 12, к1;4 350 000;1-комн. квартира;48 м2
ул.Оснабрюкская,д. 26;4 900 000;1-комн. квартира;46 м2
ул.Вышневолоцкое ш.;1 100 000;1-комн. квартира;31.4 м2
ул.Сергея Есенина,д. 8;3 100 000;1-комн. квартира;35.8 м2
ул.Степана Разина,д. 78;500 000;1-комн. квартира;40 м2
ул.Победы,д. 16;1 100 000;1-комн. квартира;32.9 м2
ул.Тургенева,д. 5;5 850 000;1-комн. квартира;60 м2
ул.Тамары Ильиной,д. 35;2 700 000;1-комн. квартира;31 м2
ул.Кирова,д. 4;400 000;1-комн. квартира;14.5 м2
ул.Лемешева,д. 10;3 300 000;1-комн. квартира;38 м2
ул.Игуменка д.,д. 8;1 660 000;1-комн. квартира;28.8 м2
ул.Степана Разина наб.,д. 13;3 850 000;1-комн. квартира;42 м2
ул.Боровикова,д. 3;550 000;1-комн. квартира;32.8 м2
ул.Центральная,д. 26;2 200 000;1-комн. квартира;29 м2
ул.Карачарово д.,д. 3;2 500 000;1-комн. квартира;35 м2
ул.Ватутина,д. 3;2 025 000;1-комн. квартира;53.2 м2
"ул.Ткача,д. ЖК &quot;Шоколад&quot; 1 этап";3 540 000;1-комн. квартира;36.44 м2
ул.Центральная,д. 6;980 000;1-комн. квартира;32.8 м2
ул.Новая,д. 2;4 100 000;1-комн. квартира;51 м2
ул.Казанская;2 650 000;1-комн. квартира;43 м2
ул.Новая,д. 2;3 350 000;1-комн. квартира;48.1 м2
ул.Дзержинского,д. 12, к25;450 000;1-комн. квартира;37.5 м2
ул.Коммунистическая,д. 6;500 000;1-комн. квартира;30.1 м2
ул.Бакунина;5 250 000;1-комн. квартира;50.2 м2
ул.Голландская,д. 21;6 810 000;1-комн. квартира;58 м2
ул.Терещенко,д. 13;4 700 000;1-комн. квартира;43 м2
ул.Благоева,д. 76;3 990 000;1-комн. квартира;55.1 м2
ул.Победы пр-т,д. 8;2 980 000;1-комн. квартира;29 м2
"ул.Тамары Ильиной,д. ЖД &quot;Гармония&quot;";4 750 000;1-комн. квартира;44 м2
ул.Хромова,д. 23, к1;3 000 000;1-комн. квартира;37 м2
ул.Радченко ПГТ;420 000;1-комн. квартира;17.4 м2
ул.Литвинки п.,д. 23;3 500 000;1-комн. квартира;35.1 м2
ул.Складская,д. Дом у Ручья, к2;3 900 000;1-комн. квартира;46.58 м2
ул.Загородная,д. 12, к1;4 590 000;1-комн. квартира;46 м2
ул.Петербургское ш.,д. 38, к1;4 498 000;1-комн. квартира;54.7 м2
ул.Текстельщиков,д. 23;780 000;1-комн. квартира;30 м2
ул.Гусева б-р,д. 30;3 100 000;1-комн. квартира;33 м2
ул.Медовая,д. 3;3 890 000;1-комн. квартира;37.3 м2
"ул.Ткача,д. ЖК &quot;Шоколад&quot; 1 этап";3 590 000;1-комн. квартира;41.26 м2
ул.Оборонная,д. 10;3 500 000;1-комн. квартира;37.8 м2
ул.Эммаус п.,д. 9а;1 500 000;1-комн. квартира;23.6 м2
ул.Специалистов,д. 15;750 000;1-комн. квартира;39.7 м2
"ул.Планерная,д. ЖК &quot;Созвездие&quot;";3 650 000;1-комн. квартира;36.8 м2
ул.Марии Смирновой,д. 1;3 990 000;1-комн. квартира;46.5 м2
ул.Маяковского,д. 31;4 200 000;1-комн. квартира;47 м2
ул.Михаила Румянцева,д. ЖД З. Коноплянниковой, 89;3 850 000;1-комн. квартира;39 м2
ул.Псковская,д. 12, к3;3 880 000;1-комн. квартира;43 м2
